AccountDisabled 	The functionality you have requested has been administratively disabled for this account.
InvalidSpotInstanceRequestID.Malformed 	The specified Spot Instance request ID is not valid. Ensure that you specify the Spot Instance request ID in the form sir-xxxxxxxx.
InvalidSpotInstanceRequestID.NotFound 	The specified Spot Instance request ID does not exist. Ensure that you specify the AWS Region in which the Spot Instance request is located, if it's not in the default Region.
InvalidState 	The specified resource is not in the correct state for the request; for example, if you are trying to enable monitoring on a recently terminated instance, or if you are trying to create a snapshot when a previous identical request has not yet completed.
InvalidStateTransition 	The specified VPC peering connection is not in the correct state for the request. For example, you may be trying to accept a VPC peering request that has failed, or that was rejected.
InvalidSubnet 	The specified subnet ID is not valid or does not exist.
InvalidSubnet.Conflict 	The specified CIDR block conflicts with that of another subnet in your VPC.
InvalidSubnetID.Malformed 	The specified subnet ID is malformed. Ensure that you specify the ID in the form subnet-xxxxxxxxxxxxxxxxx
InvalidSubnetID.NotFound or InvalidSubnetId.NotFound 	The specified subnet does not exist.
InvalidSubnet.Range 	The CIDR block you've specified for the subnet is not valid. The allowed block size is between a /28 netmask and /16 netmask.
InvalidTagKey.Malformed 	The specified tag key is not valid. Tag keys cannot be empty or null, and cannot start with aws:.
InvalidTargetArn.Unknown 	The specified ARN for the specified user or role is not valid or does not exist.
InvalidTargetException 	The specified TargetId is not valid, does not exist, or is in another organization. You can only generate an account status report for declarative policies in your own organization. Ensure that you specify the TargetId in one of the following forms: r-xxxx, ou-xxxx-xxxxxxxx, or a 12-digit account ID in the form xxxxxxxxxxxx.
InvalidTenancy 	The tenancy of the instance or VPC is not supported for the requested action. For example, you cannot modify the tenancy of an instance or VPC that has a tenancy attribute of default.
InvalidTime 	The specified timestamp is not valid.
InvalidTrafficMirrorFilterNotFound 	The specified Traffic Mirror filter does not exist.
InvalidTrafficMirrorFilterRuleNotFound 	The specified Traffic Mirror filter rule does not exist.
InvalidTrafficMirrorSessionNotFound 	The specified Traffic Mirror session does not exist.
InvalidTrafficMirrorTargetNoFound 	The specified Traffic Mirror target does not exist.
InvalidUserID.Malformed 	The specified user or owner is not valid. If you are performing a DescribeImages request, you must specify a valid value for the owner or executableBy parameters, such as an AWS account ID. If you are performing a DescribeSnapshots request, you must specify a valid value for the owner or restorableBy parameters.
InvalidVolumeID.Duplicate 	The Amazon EBS volume already exists.
InvalidVolumeID.Malformed 	The specified volume ID is not valid. Check the letter-number combination carefully.
InvalidVolumeID.ZoneMismatch 	The specified volume and instance are in different Availability Zones.
InvalidVolume.NotFound 	The specified volume does not exist.
InvalidVolume.ZoneMismatch 	The specified volume is not in the same Availability Zone as the specified instance. You can only attach an Amazon EBS volume to an instance if they are in the same Availability Zone.
InvalidVpcEndpoint.NotFound 	The specified VPC endpoint does not exist. If you are performing a bulk request that is partially successful or unsuccessful, the response includes a list of the unsuccessful items. If the request succeeds, the list is empty.
InvalidVpcEndpointId.Malformed 	The specified VPC endpoint ID is malformed. Use the full VPC endpoint ID in the request, in the form vpce-xxxxxxxxxxxxxxxxx.
InvalidVpcEndpointId.NotFound 	The specified VPC endpoint does not exist. If you are performing a bulk request that is partially successful or unsuccessful, the response includes a list of the unsuccessful items. If the request succeeds, the list is empty.
InvalidVpcEndpointService.NotFound 	The specified VPC endpoint service does not exist. If you are performing a bulk request that is partially successful or unsuccessful, the response includes a list of the unsuccessful items. If the request succeeds, the list is empty.
InvalidVpcEndpointServiceIdId.Malformed 	The specified VPC endpoint service ID is malformed. Ensure that you specify the ID in the form vpc-svc-xxxxxxxxxxxxxxxxx.
InvalidVpcEndpointServiceId.NotFound 	The specified VPC endpoint service does not exist. If you are performing a bulk request that is partially successful or unsuccessful, the response includes a list of the unsuccessful items. If the request succeeds, the list is empty.
InvalidVpcEndpointType 	The specified VPC endpoint type is not valid.
InvalidVpcID.Malformed 	The specified VPC ID is malformed. Ensure that you've specified the ID in the form vpc-xxxxxxxxxxxxxxxxx.
InvalidVpcID.NotFound 	The specified VPC does not exist.
InvalidVpcPeeringConnectionId.Malformed 	The specified VPC peering connection ID is malformed. Ensure that you provide the ID in the form pcx-xxxxxxxxxxxxxxxxx.
InvalidVpcPeeringConnectionID.NotFound 	The specified VPC peering connection ID does not exist.
InvalidVpcPeeringConnectionState.DnsHostnamesDisabled 	To enable DNS hostname resolution for the VPC peering connection, DNS hostname support must be enabled for the VPCs.
InvalidVpcRange 	The specified CIDR block range is not valid. The block range must be between a /28 netmask and /16 netmask. For more information, see VPC CIDR blocks.
InvalidVpcState 	The specified VPC already has a virtual private gateway attached to it.
InvalidVpnConnectionID 	The specified VPN connection ID cannot be found.
InvalidVpnConnectionID.NotFound 	The specified VPN connection ID does not exist.
InvalidVpnConnection.InvalidState 	The VPN connection must be in the available state to complete the request.
InvalidVpnConnection.InvalidType 	The specified VPN connection does not support static routes.
InvalidVpnGatewayAttachment.NotFound 	An attachment between the specified virtual private gateway and specified VPC does not exist. This error can also occur if you've specified an incorrect VPC ID in the request.
InvalidVpnGatewayID.NotFound 	The specified virtual private gateway does not exist.
InvalidVpnGatewayState 	The virtual private gateway is not in an available state.
InvalidZone.NotFound 	The specified Availability Zone does not exist, or is not available for you to use. Use the DescribeAvailabilityZones request to list the Availability Zones that are currently available to you. Specify the full name of the Availability Zone: for example, us-east-1a.
KeyPairLimitExceeded 	You've reached the limit on the number of key pairs that you can have in this AWS Region. For more information, see Amazon EC2 key pairs.
LegacySecurityGroup 	Any VPC created using an API version older than 2011-01-01 may have the 2009-07-15-default security group. You must delete this security group before you can attach an internet gateway to the VPC.
LimitPriceExceeded 	The cost of the total order is greater than the specified limit price (instance count * price).
LogDestinationNotFound 	The specified Amazon S3 bucket does not exist. Ensure that you have specified the ARN for an existing Amazon S3 bucket, and that the ARN is in the correct format.
LogDestinationPermissionIssue 	You do not have sufficient permissions to publish flow logs to the specific Amazon S3 bucket.
MaxConfigLimitExceededException 	You’ve exceeded your maximum allowed Spot placement configurations. You can retry configurations that you used within the last 24 hours, or wait for 24 hours before specifying a new configuration. For more information, see Spot placement score.
MaxIOPSLimitExceeded 	You've reached the limit on your IOPS usage for the AWS Region. For more information, see Quotas for Amazon EBS.
MaxScheduledInstanceCapacityExceeded 	You've attempted to launch more instances than you purchased.
MaxSpotFleetRequestCountExceeded 	You've reached one or both of these limits: the total number of Spot Fleet requests that you can make, or the total number of instances in all Spot Fleets for the AWS Region (the target capacity). For more information, see Fleet quotas.
MaxSpotInstanceCountExceeded 	You've reached the limit on the number of Spot Instances that you can launch. The limit depends on the instance type. For more information, see Spot Instance limits.
MaxTemplateLimitExceeded 	You've reached the limit on the number of launch templates you can create. For more information, see Launch template restrictions.
MaxTemplateVersionLimitExceeded 	You've reached the limit on the number of launch template versions that you can create. For more information, see Launch template restrictions.
MissingInput 	An input parameter is missing.
NatGatewayLimitExceeded 	You've reached the limit on the number of NAT gateways that you can create. For more information, see Amazon VPC quotas.
NatGatewayMalformed 	The specified NAT gateway ID is not formed correctly. Ensure that you specify the NAT gateway ID in the form nat-xxxxxxxxxxxxxxxxx.
NatGatewayNotFound 	The specified NAT gateway does not exist.
NetworkAclEntryAlreadyExists 	The specified rule number already exists in this network ACL.
NetworkAclEntryLimitExceeded 	You've reached the limit on the number of rules that you can add to the network ACL. For more information, see Amazon VPC quotas.
NetworkAclLimitExceeded 	You've reached the limit on the number of network ACLs that you can create for the specified VPC. For more information, see Amazon VPC quotas.
NetworkInterfaceLimitExceeded 	You've reached the limit on the number of network interfaces that you can create. For more information, see Amazon VPC quotas.
NetworkInterfaceNotSupported 	The network interface is not supported for Traffic Mirroring.
NetworkLoadBalancerNotFoundException 	The specified Network Load Balancer does not exist.
NlbInUseByTrafficMirrorTargetException 	The Network Load Balancer is already configured as a Traffic Mirror target.
NonEBSInstance 	The specified instance does not support Amazon EBS. Restart the instance and try again, to ensure that the code is run on an instance with updated code.
NoSuchVersion 	The specified API version does not exist.
NotExportable 	The specified instance cannot be exported. You can only export certain instances. For more information, see Considerations for instance export.
OperationNotPermitted 	The specified operation is not allowed. This error can occur for a number of reasons; for example, you might be trying to terminate an instance that has termination protection enabled, or trying to detach the primary network interface (eth0) from an instance.
OutstandingVpcPeeringConnectionLimitExceeded 	You've reached the limit on the number of VPC peering connection requests that you can create for the specified VPC.
PendingSnapshotLimitExceeded 	You've reached the limit on the number of Amazon EBS snapshots that you can have in the pending state.
PendingVpcPeeringConnectionLimitExceeded 	You've reached the limit on the number of pending VPC peering connections that you can have.
PlacementGroupLimitExceeded 	You've reached the limit on the number of placement groups that you can have.
PrivateIpAddressLimitExceeded 	You've reached the limit on the number of private IP addresses that you can assign to the specified network interface for that type of instance. For more information, see IP addresses per network interface.
RequestResourceCountExceeded 	

Details in your Spot request exceed the numbers allowed by the Spot service in one of the following ways, depending on the action that generated the error:

—If you get this error when you submitted a request for Spot Instances, check the number of Spot Instances specified in your request. The number shouldn't exceed the 3,000 maximum allowed per request. Resend your Spot Instance request and specify a number less than 3,000. If your account's regional Spot request limit is greater than 3,000 instances, you can access these instances by submitting multiple smaller requests.

—If you get this error when you sent Describe Spot Instance requests, check the number of requests for Spot Instance data, the amount of data you requested, and how often you sent the request. The frequency with which you requested the data combined with the amount of data exceeds the levels allowed by the Spot service. Try again and submit fewer large Describe requests over longer intervals.
ReservationCapacityExceeded 	The targeted Capacity Reservation does not enough available instance capacity to fulfill your request. Either increase the instance capacity for the targeted Capacity Reservation, or target a different Capacity Reservation.
ReservedInstancesCountExceeded 	You've reached the limit for the number of Reserved Instances.
ReservedInstancesLimitExceeded 	Your current quota does not allow you to purchase the required number of Reserved Instances.
ReservedInstancesUnavailable 	The requested Reserved Instances are not available.
Resource.AlreadyAssigned 	The specified private IP address is already assigned to a resource. Unassign the private IP first, or use a different private IP address.
Resource.AlreadyAssociated 	The specified resource is already in use. For example, in EC2-VPC, you cannot associate an Elastic IP address with an instance if it's already associated with another instance. You also cannot attach an internet gateway to more than one VPC at a time.
ResourceCountExceeded 	You have exceeded the number of resources allowed for this request; for example, if you try to launch more instances than AWS allows in a single request. This limit is separate from your individual resource limit. If you get this error, break up your request into smaller requests; for example, if you are launching 15 instances, try launching 5 instances in 3 separate requests.
ResourceCountLimitExceeded 	You have exceeded a resource limit for creating routes.
ResourceLimitExceeded 	You have exceeded an Amazon EC2 resource limit. For example, you might have too many snapshot copies in progress.
RetryableError 	A request submitted by an AWS service on your behalf could not be completed. The requesting service might automatically retry the request.
RouteAlreadyExists 	A route for the specified CIDR block already exists in this route table.
RouteLimitExceeded 	You've reached the limit on the number of routes that you can add to a route table.
RouteTableLimitExceeded 	You've reached the limit on the number of route tables that you can create for the specified VPC. For more information about route table limits, see Amazon VPC quotas.
RulesPerSecurityGroupLimitExceeded 	You've reached the limit on the number of rules that you can add to a security group. For more information, see Amazon VPC quotas.
ScheduledInstanceLimitExceeded 	You've reached the limit on the number of Scheduled Instances that you can purchase.
ScheduledInstanceParameterMismatch 	The launch specification does not match the details for the Scheduled Instance.
ScheduledInstanceSlotNotOpen 	You can launch a Scheduled Instance only during its scheduled time periods.
ScheduledInstanceSlotUnavailable 	The requested Scheduled Instance is no longer available during this scheduled time period.
SecurityGroupLimitExceeded 	You've reached the limit on the number of security groups that you can create, or that you can assign to an instance.
SecurityGroupsPerInstanceLimitExceeded 	You've reached the limit on the number of security groups that you can assign to an instance. For more information, see Amazon EC2 security groups.
SecurityGroupsPerInterfaceLimitExceeded 	You've reached the limit on the number of security groups you can associate with the specified network interface. For more information, see Amazon VPC quotas.
SignatureDoesNotMatch 	The request signature that Amazon has does not match the signature that you provided. Check your AWS credentials and signing method.
SnapshotCopyUnsupported.InterRegion 	Inter-region snapshot copy is not supported for this AWS Region.
SnapshotCreationPerVolumeRateExceeded 	The rate limit for creating concurrent snapshots of an EBS volume has been exceeded. Wait at least 15 seconds between concurrent volume snapshots.
SnapshotLimitExceeded 	You've reached the limit on the number of Amazon EBS snapshots that you can create.
SpotMaxPriceTooLow 	The request can't be fulfilled yet because your maximum price is below the Spot price. In this case, no instance is launched and your request remains open.
SubnetLimitExceeded 	You've reached the limit on the number of subnets that you can create for the specified VPC. For more information, see Amazon VPC quotas.
TagLimitExceeded 	You've reached the limit on the number of tags that you can assign to the specified resource. For more information, see Tag restrictions.
TargetCapacityLimitExceededException 	The value for targetCapacity exceeds your limit on the amount of Spot placement target capacity you can explore. Reduce the targetCapacity value, and try again. For more information, see Spot placement score.
TrafficMirrorFilterInUse 	The Traffic Mirror filter cannot be deleted because a Traffic Mirror session is currently using it.
TrafficMirrorSessionsPerInterfaceLimitExceeded 	The allowed number of Traffic Mirror sessions for the specified network interface has been exceeded.
TrafficMirrorSessionsPerTargetLimitExceeded 	The maximum number of Traffic Mirror sessions for the specified Traffic Mirror target has been exceeded.
TrafficMirrorSourcesPerTargetLimitExceeded 	The maximum number of Traffic Mirror sources for the specified Traffic Mirror target has been exceeded.
TrafficMirrorTargetInUseException 	The Traffic Mirror target cannot be deleted because a Traffic Mirror session is currently using it.
TrafficMirrorFilterLimitExceeded 	The maximum number of Traffic Mirror filters has been exceeded.
TrafficMirrorFilterRuleLimitExceeded 	The maximum number of Traffic Mirror filter rules has been exceeded.
TrafficMirrorSessionLimitExceeded 	The maximum number of Traffic Mirror sessions has been exceeded.
TrafficMirrorTargetLimitExceeded 	The maximum number of Traffic Mirror targets has been exceeded.
TrafficMirrorFilterRuleAlreadyExists 	The Traffic Mirror filter rule already exists.
UnavailableHostRequirements 	There are no valid Dedicated Hosts available on which you can launch an instance.
UnfulfillableCapacity 	At this time there isn't enough spare capacity to fulfill your request for Spot Instances. You can wait a few minutes to see whether capacity becomes available for your request. Alternatively, create a more flexible request. For example, include additional instance types, include additional Availability Zones, or use the capacity-optimized allocation strategy.
UnknownPrincipalType.Unsupported 	The principal type is not supported.
UnknownVolumeType 	The specified volume type is unsupported. The supported volume types are gp2, io1, st1, sc1, and standard.
Unsupported 	The specified request is unsupported. For example, you might be trying to launch an instance in an Availability Zone that currently has constraints on that instance type. The returned message provides details of the unsupported request.
UnsupportedException 	Capacity Reservations are not supported for this Region.
UnsupportedHibernationConfiguration 	The instance could not be launched because one or more parameter values do not meet the prerequisites for enabling hibernation. For more information, see Hibernation Prerequisites. Alternatively, the instance could not be hibernated because it is not enabled for hibernation.
UnsupportedHostConfiguration 	The specified Dedicated Host configuration is unsupported. For more information about supported configurations, see Dedicated Hosts.
UnsupportedInstanceTypeOnHost 	The instance type is not supported on the Dedicated Host. For more information about supported instance types, see Amazon EC2 Dedicated Hosts Pricing.
UnsupportedTenancy 	The specified tenancy is unsupported. You can change the tenancy of a VPC to default only.
UpdateLimitExceeded 	

The default credit specification for an instance family can be modified only once in a rolling 5-minute period, and up to four times in a rolling 24-hour period. For more information, see Set the default credit specification for the account.
VcpuLimitExceeded 	You've reached the limit on the number of vCPUs (virtual processing units) assigned to the running instances in your account. You are limited to running one or more On-Demand instances in an AWS account, and Amazon EC2 measures usage towards each limit based on the total number of vCPUs that are assigned to the running On-Demand instances in your AWS account. If your request fails due to limit constraints, increase your On-Demand instance limits and try again. For more information, see EC2 On-Demand instance limits.
VolumeInUse 	The specified Amazon EBS volume is attached to an instance. Ensure that the specified volume is in an ‘available’ state.
VolumeIOPSLimit 	The maximum IOPS limit for the volume has been reached. For more information, see Amazon EBS volume types.
VolumeLimitExceeded 	You've reached the limit on your Amazon EBS volume storage. For more information, see Quotas for Amazon EBS.
VolumeModificationSizeLimitExceeded 	You've reached the limit on your Amazon EBS volume modification storage in this Region. For more information, see Quotas for Amazon EBS.
VolumeTypeNotAvailableInZone 	

The specified Availability Zone does not support Provisioned IOPS SSD volumes. Try launching your instance in a different Availability Zone, or don't specify a zone in the request. If you're creating a volume, try specifying a different Availability Zone in the request.
VPCIdNotSpecified 	You have no default VPC in which to carry out the request. Specify a VPC or subnet ID or, in the case of security groups, specify the ID and not the security group name. If you deleted your default VPC, you can create a new one. For more information, see Create a default VPC.
VpcEndpointLimitExceeded 	You've reached the limit on the number of VPC endpoints that you can create in the AWS Region. For more information, see Amazon VPC quotas.
VpcLimitExceeded 	You've reached the limit on the number of VPCs that you can create in the AWS Region. For more information about VPC limits, see Amazon VPC quotas.
VpcPeeringConnectionAlreadyExists 	A VPC peering connection between the VPCs already exists.
VpcPeeringConnectionsPerVpcLimitExceeded 	You've reached the limit on the number of VPC peering connections that you can have per VPC. For more information, see Amazon VPC quotas.
VPCResourceNotSpecified 	The specified resource can be used only in a VPC; for example, T2 instances. Ensure that you have a VPC in your account, and then specify a subnet ID or network interface ID in the request.
VpnConnectionLimitExceeded 	You've reached the limit on the number of VPN connections that you can create. For more information, see Amazon VPC quotas.
VpnGatewayAttachmentLimitExceeded 	You've reached the limit on the number of VPCs that can be attached to the specified virtual private gateway.
VpnGatewayLimitExceeded 	You've reached the limit on the number of virtual private gateways that you can create. For more information about limits, see Amazon VPC quotas.
ZonesMismatched 	The Availability Zone for the instance does not match that of the Dedicated Host
